gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.867622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.939934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.01437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.09098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.16984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.25101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1.33455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.42055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.50907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.60018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.69396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.79048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1.88984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.99211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.09737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.20572,4.85422e-044,6.02456e-044,4.85422e-044,6.24743e-044,7.75366e-044,6.24743e-044,2.38703e-044,2.96254e-044,2.38703e-044,2.25325e-045,2.7965e-045,2.25325e-045,5.06341e-047,6.28418e-047,5.06341e-047
31,2.31725,6.4791e-042,8.04119e-042,6.4791e-042,8.33866e-042,1.03491e-041,8.33866e-042,3.18605e-042,3.9542e-042,3.18605e-042,3.00749e-043,3.73259e-043,3.00749e-043,6.75832e-045,8.38772e-045,6.75832e-045
32,2.43204,5.80804e-040,7.20834e-040,5.80804e-040,7.475e-040,9.2772e-040,7.475e-040,2.85606e-040,3.54465e-040,2.85606e-040,2.696e-041,3.346e-041,2.696e-041,6.05834e-043,7.51899e-043,6.05834e-043
33,2.5502,3.05491e-038,3.79144e-038,3.05491e-038,3.93277e-038,4.88094e-038,3.93277e-038,1.50351e-038,1.866e-038,1.50351e-038,1.42119e-039,1.76383e-039,1.42119e-039,3.20435e-041,3.97691e-041,3.20435e-041
34,2.67182,2.98991e-037,3.71077e-037,2.98991e-037,3.89662e-037,4.83608e-037,3.89662e-037,1.52847e-037,1.89698e-037,1.52847e-037,1.53101e-038,1.90013e-038,1.53101e-038,3.92849e-040,4.87563e-040,3.92849e-040
35,2.797,6.88501e-037,8.54496e-037,6.88501e-037,9.10245e-037,1.1297e-036,9.10245e-037,3.67486e-037,4.56085e-037,3.67486e-037,3.90721e-038,4.84923e-038,3.90721e-038,1.12055e-039,1.39072e-039,1.12055e-039
36,2.92586,3.59566e-035,4.46256e-035,3.59566e-035,4.66255e-035,5.78667e-035,4.66255e-035,1.80996e-035,2.24633e-035,1.80996e-035,1.77194e-036,2.19915e-036,1.77194e-036,4.33332e-038,5.37806e-038,4.33332e-038
37,3.05848,4.31212e-034,5.35176e-034,4.31212e-034,6.00003e-034,7.44662e-034,6.00003e-034,2.65995e-034,3.30125e-034,2.65995e-034,3.32852e-035,4.13101e-035,3.32852e-035,1.20042e-036,1.48983e-036,1.20042e-036
38,3.195,1.22017e-033,1.51435e-033,1.22017e-033,1.70135e-033,2.11154e-033,1.70135e-033,7.57017e-034,9.39532e-034,7.57017e-034,9.53009e-035,1.18278e-034,9.53009e-035,3.46631e-036,4.30202e-036,3.46631e-036
39,3.33551,5.04599e-032,6.26256e-032,5.04599e-032,6.758e-032,8.38733e-032,6.758e-032,2.80154e-032,3.47698e-032,2.80154e-032,3.15349e-033,3.91379e-033,3.15349e-033,1.01825e-034,1.26374e-034,1.01825e-034
40,3.48015,1.10472e-031,1.37106e-031,1.10472e-031,1.56312e-031,1.93998e-031,1.56312e-031,7.13107e-032,8.85034e-032,7.13107e-032,9.33595e-033,1.15868e-032,9.33595e-033,3.57473e-034,4.43658e-034,3.57473e-034
41,3.62902,2.06564e-031,2.56366e-031,2.06564e-031,3.02627e-031,3.75589e-031,3.02627e-031,1.46721e-031,1.82095e-031,1.46721e-031,2.13029e-032,2.64389e-032,2.13029e-032,9.63534e-034,1.19584e-033,9.63534e-034
